action_id,entity_id,recommendation_theme,priority,estimated_hours_saved_monthly,expected_value_or_cost_avoidance,confidence,owner_team,next_step,status
ACT0001,ENT001,"Create a daily exception report that ranks devices by downtime, cash variance, and service aging.",P0,13,131618,Directional,Risk,rewrite requirement,proposed
ACT0002,ENT002,"Standardize branch, route, and device identifiers before automating Tableau Prep flows.",P2,10,101490,Medium,Risk,run stakeholder review,in progress
ACT0003,ENT003,Move weekly VLOOKUP reconciliation into SQL-backed validation checks with clear owner notes.,P0,31,143344,Medium,Risk,investigate anomaly,in progress
ACT0004,ENT004,Move weekly VLOOKUP reconciliation into SQL-backed validation checks with clear owner notes.,P2,14,57349,Directional,Operations,rewrite requirement,accepted
ACT0005,ENT005,Move weekly VLOOKUP reconciliation into SQL-backed validation checks with clear owner notes.,P2,89,69055,Directional,Product,certify metric,in progress
ACT0006,ENT006,"Standardize branch, route, and device identifiers before automating Tableau Prep flows.",P0,39,121502,Directional,Analytics,investigate anomaly,proposed
ACT0007,ENT007,"Create a daily exception report that ranks devices by downtime, cash variance, and service aging.",P1,55,142878,Directional,Product,certify metric,accepted
ACT0008,ENT008,Move weekly VLOOKUP reconciliation into SQL-backed validation checks with clear owner notes.,P1,27,144135,Medium,Analytics,rewrite requirement,in progress
ACT0009,ENT009,Move weekly VLOOKUP reconciliation into SQL-backed validation checks with clear owner notes.,P3,38,3345,Directional,Product,investigate anomaly,needs evidence
ACT0010,ENT010,Move weekly VLOOKUP reconciliation into SQL-backed validation checks with clear owner notes.,P2,29,82415,High,Risk,investigate anomaly,proposed
ACT0011,ENT011,"Standardize branch, route, and device identifiers before automating Tableau Prep flows.",P0,29,98545,Medium,Analytics,automate refresh,accepted
ACT0012,ENT012,"Create a daily exception report that ranks devices by downtime, cash variance, and service aging.",P1,23,116839,High,Product,investigate anomaly,proposed
ACT0013,ENT013,Move weekly VLOOKUP reconciliation into SQL-backed validation checks with clear owner notes.,P1,91,84069,High,Product,investigate anomaly,needs evidence
ACT0014,ENT014,Move weekly VLOOKUP reconciliation into SQL-backed validation checks with clear owner notes.,P3,16,51583,Medium,Finance,certify metric,in progress
