check_id,run_date,source_system,table_name,check_type,records_checked,failed_records,failure_rate_pct,severity,status,business_rule
CHK0001,2026-04-01,ATM processor,atm_transactions,vlookup_reconcile,113209,2072,1.83,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0002,2026-04-01,Cash logistics file,cash_loads,duplicate_key,71960,805,1.12,Low,pass,"Device, merchant, and date keys are unique"
CHK0003,2026-04-01,Field service queue,service_tickets,definition_drift,150021,500,0.33,Low,pass,Metric logic matches the documented reporting definition
CHK0004,2026-04-01,Merchant portal,device_master,freshness,13257,173,1.31,Low,pass,Source delivered before daily reporting cutoff
CHK0005,2026-04-01,Merchant portal,merchant_master,freshness,182471,2505,1.37,Low,pass,Source delivered before daily reporting cutoff
CHK0006,2026-04-01,Tableau Prep extract,report_output,null_required_field,193492,2288,1.18,Low,pass,Required reporting dimensions are populated
CHK0007,2026-04-02,ATM processor,atm_transactions,vlookup_reconcile,166556,3027,1.82,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0008,2026-04-02,Cash logistics file,cash_loads,null_required_field,156631,2783,1.78,Low,pass,Required reporting dimensions are populated
CHK0009,2026-04-02,Field service queue,service_tickets,threshold_breach,49453,1710,3.46,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0010,2026-04-02,Merchant portal,device_master,duplicate_key,202576,1160,0.57,Low,pass,"Device, merchant, and date keys are unique"
CHK0011,2026-04-02,Merchant portal,merchant_master,definition_drift,215577,1001,0.46,Low,pass,Metric logic matches the documented reporting definition
CHK0012,2026-04-02,Tableau Prep extract,report_output,threshold_breach,99269,1538,1.55,Low,pass,Cash and settlement variance remain inside tolerance
CHK0013,2026-04-03,ATM processor,atm_transactions,vlookup_reconcile,103656,715,0.69,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0014,2026-04-03,Cash logistics file,cash_loads,null_required_field,10801,57,0.53,Low,pass,Required reporting dimensions are populated
CHK0015,2026-04-03,Field service queue,service_tickets,duplicate_key,21292,91,0.43,Low,pass,"Device, merchant, and date keys are unique"
CHK0016,2026-04-03,Merchant portal,device_master,threshold_breach,87161,1318,1.51,Low,pass,Cash and settlement variance remain inside tolerance
CHK0017,2026-04-03,Merchant portal,merchant_master,freshness,129041,939,0.73,Low,pass,Source delivered before daily reporting cutoff
CHK0018,2026-04-03,Tableau Prep extract,report_output,duplicate_key,61106,494,0.81,Low,pass,"Device, merchant, and date keys are unique"
CHK0019,2026-04-04,ATM processor,atm_transactions,threshold_breach,95599,51,0.05,Low,pass,Cash and settlement variance remain inside tolerance
CHK0020,2026-04-04,Cash logistics file,cash_loads,definition_drift,169178,746,0.44,Low,pass,Metric logic matches the documented reporting definition
CHK0021,2026-04-04,Field service queue,service_tickets,duplicate_key,215328,1522,0.71,Low,pass,"Device, merchant, and date keys are unique"
CHK0022,2026-04-04,Merchant portal,device_master,duplicate_key,41459,420,1.01,Low,pass,"Device, merchant, and date keys are unique"
CHK0023,2026-04-04,Merchant portal,merchant_master,freshness,92425,642,0.7,Low,pass,Source delivered before daily reporting cutoff
CHK0024,2026-04-04,Tableau Prep extract,report_output,definition_drift,63633,326,0.51,Low,pass,Metric logic matches the documented reporting definition
CHK0025,2026-04-05,ATM processor,atm_transactions,definition_drift,72154,343,0.48,Low,pass,Metric logic matches the documented reporting definition
CHK0026,2026-04-05,Cash logistics file,cash_loads,definition_drift,221206,461,0.21,Low,pass,Metric logic matches the documented reporting definition
CHK0027,2026-04-05,Field service queue,service_tickets,freshness,109273,1371,1.25,Low,pass,Source delivered before daily reporting cutoff
CHK0028,2026-04-05,Merchant portal,device_master,duplicate_key,117897,811,0.69,Low,pass,"Device, merchant, and date keys are unique"
CHK0029,2026-04-05,Merchant portal,merchant_master,vlookup_reconcile,149489,3028,2.03,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0030,2026-04-05,Tableau Prep extract,report_output,duplicate_key,164372,1447,0.88,Low,pass,"Device, merchant, and date keys are unique"
CHK0031,2026-04-06,ATM processor,atm_transactions,null_required_field,160625,522,0.32,Low,pass,Required reporting dimensions are populated
CHK0032,2026-04-06,Cash logistics file,cash_loads,vlookup_reconcile,138873,2988,2.15,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0033,2026-04-06,Field service queue,service_tickets,threshold_breach,179491,3586,2.0,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0034,2026-04-06,Merchant portal,device_master,null_required_field,218142,3397,1.56,Low,pass,Required reporting dimensions are populated
CHK0035,2026-04-06,Merchant portal,merchant_master,vlookup_reconcile,117203,1188,1.01,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0036,2026-04-06,Tableau Prep extract,report_output,vlookup_reconcile,57558,269,0.47,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0037,2026-04-07,ATM processor,atm_transactions,vlookup_reconcile,39126,218,0.56,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0038,2026-04-07,Cash logistics file,cash_loads,definition_drift,115043,165,0.14,Low,pass,Metric logic matches the documented reporting definition
CHK0039,2026-04-07,Field service queue,service_tickets,threshold_breach,223591,4270,1.91,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0040,2026-04-07,Merchant portal,device_master,definition_drift,163814,789,0.48,Low,pass,Metric logic matches the documented reporting definition
CHK0041,2026-04-07,Merchant portal,merchant_master,definition_drift,88614,513,0.58,Low,pass,Metric logic matches the documented reporting definition
CHK0042,2026-04-07,Tableau Prep extract,report_output,vlookup_reconcile,166089,3461,2.08,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0043,2026-04-08,ATM processor,atm_transactions,null_required_field,115267,619,0.54,Low,pass,Required reporting dimensions are populated
CHK0044,2026-04-08,Cash logistics file,cash_loads,duplicate_key,143433,2013,1.4,Low,pass,"Device, merchant, and date keys are unique"
CHK0045,2026-04-08,Field service queue,service_tickets,threshold_breach,127945,4371,3.42,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0046,2026-04-08,Merchant portal,device_master,definition_drift,98326,583,0.59,Low,pass,Metric logic matches the documented reporting definition
CHK0047,2026-04-08,Merchant portal,merchant_master,vlookup_reconcile,28344,639,2.26,Medium,watch,Excel lookup output agrees with SQL reconciliation
CHK0048,2026-04-08,Tableau Prep extract,report_output,freshness,76220,1356,1.78,Low,pass,Source delivered before daily reporting cutoff
CHK0049,2026-04-09,ATM processor,atm_transactions,duplicate_key,196881,836,0.42,Low,pass,"Device, merchant, and date keys are unique"
CHK0050,2026-04-09,Cash logistics file,cash_loads,threshold_breach,123964,3467,2.8,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0051,2026-04-09,Field service queue,service_tickets,definition_drift,49349,361,0.73,Low,pass,Metric logic matches the documented reporting definition
CHK0052,2026-04-09,Merchant portal,device_master,null_required_field,81480,952,1.17,Low,pass,Required reporting dimensions are populated
CHK0053,2026-04-09,Merchant portal,merchant_master,vlookup_reconcile,18569,309,1.67,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0054,2026-04-09,Tableau Prep extract,report_output,vlookup_reconcile,124426,480,0.39,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0055,2026-04-10,ATM processor,atm_transactions,definition_drift,7705,34,0.45,Low,pass,Metric logic matches the documented reporting definition
CHK0056,2026-04-10,Cash logistics file,cash_loads,definition_drift,186465,1194,0.64,Low,pass,Metric logic matches the documented reporting definition
CHK0057,2026-04-10,Field service queue,service_tickets,threshold_breach,213201,7209,3.38,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0058,2026-04-10,Merchant portal,device_master,definition_drift,99705,553,0.56,Low,pass,Metric logic matches the documented reporting definition
CHK0059,2026-04-10,Merchant portal,merchant_master,duplicate_key,150338,714,0.48,Low,pass,"Device, merchant, and date keys are unique"
CHK0060,2026-04-10,Tableau Prep extract,report_output,null_required_field,187450,908,0.48,Low,pass,Required reporting dimensions are populated
CHK0061,2026-04-11,ATM processor,atm_transactions,duplicate_key,199436,2487,1.25,Low,pass,"Device, merchant, and date keys are unique"
CHK0062,2026-04-11,Cash logistics file,cash_loads,definition_drift,174742,599,0.34,Low,pass,Metric logic matches the documented reporting definition
CHK0063,2026-04-11,Field service queue,service_tickets,null_required_field,14837,107,0.72,Low,pass,Required reporting dimensions are populated
CHK0064,2026-04-11,Merchant portal,device_master,duplicate_key,31190,269,0.87,Low,pass,"Device, merchant, and date keys are unique"
CHK0065,2026-04-11,Merchant portal,merchant_master,definition_drift,149467,483,0.32,Low,pass,Metric logic matches the documented reporting definition
CHK0066,2026-04-11,Tableau Prep extract,report_output,vlookup_reconcile,35824,492,1.38,Low,pass,Excel lookup output agrees with SQL reconciliation
CHK0067,2026-04-12,ATM processor,atm_transactions,threshold_breach,183963,5212,2.83,Medium,watch,Cash and settlement variance remain inside tolerance
CHK0068,2026-04-12,Cash logistics file,cash_loads,null_required_field,174556,1201,0.69,Low,pass,Required reporting dimensions are populated
